param_name,param_value,is_rw
10,0,1
20,15,1
30,0,1
40,0,1
45,T2240884,1
50,RS41-SGP,1
60,20215,0
70,9089,1
80,4,0
90,7,0
A0,703,0
B0,45969,0
C0,6,0
D0,600,1
E0,18,1
100,180,1
110,60,1
120,1700,1
130,20,1
140,135,1
150,50,1
160,1,1
170,RSM421,1
180,T1722072,1
190,0000000000,1
1A0,0,1
1A8,0,0
1B0,T1543184,0
1B8,0,1
1C0,0,1
1C8,538,1
1D0,2,1
1D5,167,1
1D8,0,1
1E0,0,1
200,29,0
210,2,0
220,27,0
230,33,0
240,0,0
250,27,0
255,0,0
260,520,0
270,6,0
280,2,0
290,1.4258440733,0
2A0,0,0
2B0,0,0
2C0,0,0
2D0,65535,0
2E0,0,0
2F0,0,0
300,0,0
310,0,0
320,64,0
400,19328,1
410,0,1
420,0,1
430,65535,1
440,0,1
450,0,1
455,30600,1
460,0,1
470,3,1
480,8622,1
490,1000,1
4A0,0,1
570,1.3062764406,1
5A0,44.8936004639,1
5B0,4.8879690170,1
630,1.2776052952,1
660,0,1
670,0.0000000000,1
680,-32767.9980468750,1
690,0,1
6A0,44.8763313293,1
6B0,0,1
6C0,0.0000000000,1
7C0,-0.4601560235,1
7D0,0.1267175525,1
7E0,2.0000000000,1
7F0,0.0000000000,0
800,0.0000000000,0
810,20.2873668671,1
820,20.1770286560,1
830,3.0000000000,1
840,-32767.9980468750,1
850,-32767.9980468750,1
860,1011.2647705078,1
870,1012.7300415039,1
900,0,0
